date,precipitation,temp_max,temp_min,wind,weather
01/01/2020,0,12.8,5,4.7,Light Rain
02/01/2020,10.9,10.6,2.8,4.5,Heavy Rain
03/01/2020,0.8,11.7,7.2,2.3,Heavy Rain
04/01/2020,20.3,12.2,5.6,4.7,Heavy Rain
05/01/2020,1.3,8.9,2.8,6.1,Heavy Rain
06/01/2020,2.5,4.4,2.2,2.2,Heavy Rain
07/01/2020,0,7.2,2.8,2.3,Heavy Rain
08/01/2020,0,10,2.8,2,Sun
09/01/2020,4.3,9.4,5,3.4,Heavy Rain
10/01/2020,1,6.1,0.6,3.4,Heavy Rain
11/01/2020,0,6.1,-1.1,5.1,Sun
12/01/2020,0,6.1,-1.7,1.9,Sun
13/01/2020,0,5,-2.8,1.3,Sun
14/01/2020,4.1,4.4,0.6,5.3,Snow
15/01/2020,5.3,1.1,-3.3,3.2,Snow
16/01/2020,2.5,1.7,-2.8,5,Snow
17/01/2020,8.1,3.3,0,5.6,Snow
18/01/2020,19.8,0,-2.8,5,Snow
19/01/2020,15.2,-1.1,-2.8,1.6,Snow
20/01/2020,13.5,7.2,-1.1,2.3,Snow
21/01/2020,3,8.3,3.3,8.2,Heavy Rain
22/01/2020,6.1,6.7,2.2,4.8,Heavy Rain
23/01/2020,0,8.3,1.1,3.6,Heavy Rain
24/01/2020,8.6,10,2.2,5.1,Heavy Rain
25/01/2020,8.1,8.9,4.4,5.4,Heavy Rain
26/01/2020,4.8,8.9,1.1,4.8,Heavy Rain
27/01/2020,0,6.7,-2.2,1.4,Light Rain
28/01/2020,0,6.7,0.6,2.2,Heavy Rain
29/01/2020,27.7,9.4,3.9,4.5,Heavy Rain
30/01/2020,3.6,8.3,6.1,5.1,Heavy Rain
31/01/2020,1.8,9.4,6.1,3.9,Heavy Rain
01/02/2020,13.5,8.9,3.3,2.7,Heavy Rain
02/02/2020,0,8.3,1.7,2.6,Sun
03/02/2020,0,14.4,2.2,5.3,Sun
04/02/2020,0,15.6,5,4.3,Sun
05/02/2020,0,13.9,1.7,2.9,Sun
06/02/2020,0,16.1,1.7,5,Sun
